articleNo,articleName,realEstateTypeName,tradeTypeName,floorInfo,isPriceModification,dealOrWarrantPrc,areaName,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrMaxPrc,sameAddrMinPrc,pyeongs,provinceNo,provinceName,districtNo,districtName,dongNo,dongName,complexNo,realEstateType,complexName,complexLatitude,complexLongitude,complexTypeName,totalHouseHoldCount,totalDongCount,useApproveYmd,minArea,maxArea
2433303721,개포더샵트리에,아파트,전세,고/16,False,"13억 4,000",132A,132.0,105.0,남향,20240706,41 주인직접 전망최고  장기거주가 ,"['4년이내', '융자금없는', '역세권', '대형평수']",901동,1.0,"13억 4,000","13억 4,000","{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433314734,개포더샵트리에,아파트,매매,저/16,False,26억,135A,135.0,108.0,남동향,20240706,,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,26억,26억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432811020,개포더샵트리에,아파트,전세,저/16,True,"13억 5,000",135A,135.0,108.0,남향,20240704,보증금작은월세 초중고도보1분거리 초역세권 장기거주가능 ,"['4년이내', '융자금없는', '역세권', '소형평수']",902동,1.0,"13억 5,000","13억 5,000","{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432986744,개포더샵트리에,아파트,매매,저/16,False,25억,135A,135.0,108.0,남동향,20240705,"41  주인직접  초역세권 구룡역,도곡역. 초,중등 인접  가성비좋음","['4년이내', '역세권', '대형평수', '방세개']",902동,2.0,27억,25억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432666345,개포더샵트리에,아파트,전세,중/16,False,"13억 5,000",135A,135.0,108.0,남향,20240703,41 풀옵션 즉시입주가능  학교1분거리 지하철5분거리 햇살가득한집,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,"13억 5,000","13억 5,000","{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432588046,개포더샵트리에,아파트,매매,고/16,False,27억,132A,132.0,105.0,남향,20240703,주인직접 확실매물  출발가능  입지최고 후회없는선택,"['4년이내', '역세권', '대형평수', '방네개이상']",901동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432195291,개포더샵트리에,아파트,매매,중/16,False,"24억 9,000",135A,135.0,108.0,남동향,20240701,개포동 로얄동 생활편리 인프라 커뮤니티 아주좋은 매물,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,"24억 9,000","24억 9,000","{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431820379,개포더샵트리에,아파트,매매,고/16,False,27억,135A,135.0,108.0,남향,20240628,신축아파트  구룡역세권  초중고인접  양재천산책,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431665353,개포더샵트리에,아파트,매매,고/16,False,27억,135A,135.0,108.0,남동향,20240628,신축아파트  구룡역세권  초중고인접  양재천산책,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431665139,개포더샵트리에,아파트,매매,고/16,False,27억,135A,135.0,108.0,남향,20240628,신축아파트  구룡역세권  초중고인접  양재천산책,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431660574,개포더샵트리에,아파트,매매,고/16,False,27억,135A,135.0,108.0,남향,20240628,"초중고 ,양재천 , 구룡역까지 가까워요 투자가치 까지 완벽해요","['4년이내', '역세권', '대형평수', '방네개이상']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431640755,개포더샵트리에,아파트,매매,고/16,False,27억,135A,135.0,108.0,남동향,20240627,신축아파트  구룡역세권  초중고인접  양재천산책,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431541913,개포더샵트리에,아파트,매매,고/16,False,27억,132A,132.0,105.0,남향,20240627,사드린집.진성매물.주인직 학군좋고  교통좋고  자연환경좋은  단지,"['4년이내', '역세권', '대형평수', '방세개']",901동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2429634211,개포더샵트리에,아파트,매매,고/16,True,27억,135A,135.0,108.0,남동향,20240617,"고려대졸.리모델링.더블역세권,하늘닿은고층,프렌들리임대인.스카이학군","['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433728564,개포래미안포레스트,아파트,매매,18/21,False,22억,86A,86.0,59.0,남향,20240709,"탁트인뷰, 용인 판교 접근용이, 대형마트 병원 차량10분거리, 조중식","['4년이내', '대단지', '대형평수', '방세개']",127동,33.0,"22억 5,000",20억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433818018,개포래미안포레스트,아파트,매매,14/34,False,35억,135A,135.0,102.0,남서향,20240709,41  입주가능   숲세권아파트 달터공원   호텔식 조중식,"['4년이내', '대단지', '대형평수', '방네개이상']",119동,28.0,35억,35억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433788921,개포래미안포레스트,아파트,전세,25/34,False,17억,148A,148.0,112.0,남동향,20240709,45 시원하게트인뷰 입주일협의가능 최고급커뮤니티 조중식서비스,"['4년이내', '대단지', '대형평수', '방네개이상']",119동,6.0,17억,17억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433831744,개포래미안포레스트,아파트,매매,7/19,False,27억,115A,115.0,84.0,남동향,20240709,35  O조율가 O조중식 O구룡초 O골프 스카이라운지 게스트하우스,"['4년이내', '대단지', '방세개', '화장실두개']",130동,20.0,27억,27억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433723424,개포래미안포레스트,아파트,전세,26/34,False,16억,149B,149.0,112.0,남향,20240709,"45.저렴한 전세.숲세권 공원뷰, 명품커뮤니티인접동. 호텔식조중식.","['4년이내', '대단지', '대형평수', '방네개이상']",119동,23.0,16억,16억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433831703,개포래미안포레스트,아파트,매매,10/10,False,28억,115A,115.0,84.0,남동향,20240709,35 O조율가 O조중식 O구룡초 O골프 스카이라운지 게스트하우스,"['4년이내', '대단지', '탑층', '방세개']",121동,33.0,28억,27억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433831450,개포래미안포레스트,아파트,매매,22/22,False,22억,86A,86.0,59.0,남동향,20240709,26 O조율가 O조중식 O숲세권 O골프 스카이라운지 게스트하우스,"['4년이내', '대단지', '탑층', '방세개']",129동,37.0,22억,20억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433831329,개포래미안포레스트,아파트,매매,6/14,False,22억,86A,86.0,59.0,남동향,20240709,26 구룡초 O조율가 O조중식 O숲세권 O골프 스카이라운지 게스트하우스,"['4년이내', '대단지', '방세개', '화장실두개']",107동,56.0,"22억 5,000",20억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433815440,개포래미안포레스트,아파트,매매,16/33,False,27억,115D,115.0,84.0,남동향,20240709,35 O조율가 O조중식 O구룡초 O골프 스카이라운지 게스트하우스,"['4년이내', '대단지', '방세개', '화장실두개']",109동,5.0,27억,27억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433805596,개포래미안포레스트,아파트,매매,7/33,False,39억,136B,136.0,102.0,남동향,20240709,41. 주인의뢰O구룡초O로얄동O명품커뮤니티,"['4년이내', '대단지', '대형평수', '방네개이상']",109동,28.0,41억,39억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433831236,개포래미안포레스트,아파트,매매,13/16,False,"21억 5,000",86A,86.0,59.0,남동향,20240709,26 O조율가 O조중식 O숲세권 O골프 스카이라운지 게스트하우스,"['4년이내', '대단지', '방세개', '화장실두개']",102동,29.0,"21억 5,000",20억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433817078,개포래미안포레스트,아파트,전세,28/34,False,16억,135A,135.0,102.0,남동향,20240709,41 구룡산전망 로얄동층 전월세 조율가능 최고급커뮤니티와 조중식,"['4년이내', '대단지', '대형평수', '방네개이상']",119동,23.0,"18억 5,000",16억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433816216,개포래미안포레스트,아파트,매매,12/14,False,18억,74,74.0,49.0,남서향,20240709,22 세안고  로얄동 장기거주가증   달터공원,"['4년이내', '대단지', '방두개', '화장실두개']",111동,28.0,19억,"17억 5,000","{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433827332,개포래미안포레스트,아파트,매매,25/34,False,36억,135A,135.0,102.0,남동향,20240709,41.  올수리로 풀옵션 관리잘된 집 숲세권라이프,"['4년이내', '올수리', '대단지', '대형평수']",124동,32.0,36억,36억,"{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
2433827183,개포래미안포레스트,아파트,전세,8/14,False,11억,101,101.0,74.0,남동향,20240709,31 귀한평형전세 어린이집 놀이터 구룡초배정 육아최적동 풀옵션,"['4년이내', '융자금없는', '대단지', '방세개']",110동,27.0,12억,"10억 5,000","{""9"": ""49.92"", ""1"": ""59.92"", ""10"": ""59.96"", ""11"": ""74.66"", ""12"": ""84.86"", ""13"": ""84.83"", ""14"": ""84.9"", ""15"": ""84.59"", ""2"": ""96.93"", ""3"": ""96.91"", ""4"": ""102.32"", ""5"": ""102.41"", ""6"": ""112.97"", ""7"": ""112.73"", ""8"": ""136.06""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,119219,APT,개포래미안포레스트,37.478448,127.054031,아파트,2296.0,31.0,20200928,74.31,174.19
